record_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,region,category
R001,C001,P001,2,150.00,300.00,2024-01-05,North,Electronics
R002,C002,P002,1,250.00,250.00,2024-01-06,South,Clothing
R003,C003,P003,5,20.00,100.00,2024-01-07,East,Grocery
R004,C004,P004,3,80.00,240.00,2024-01-08,West,Electronics
R005,C005,P005,2,60.00,120.00,2024-01-09,North,Clothing
R006,C006,P001,10,150.00,1500.00,2024-01-10,South,Electronics
R007,C007,P002,1,250.00,250.00,2024-01-11,East,Clothing
R008,C008,P003,8,20.00,160.00,2024-01-12,West,Grocery
R009,C009,P004,2,80.00,160.00,2024-01-13,North,Electronics
R010,C010,P005,4,60.00,240.00,2024-01-14,South,Clothing
R011,C001,P001,1,150.00,150.00,2024-01-15,East,Electronics
R012,C002,P003,6,20.00,120.00,2024-01-16,West,Grocery
R013,C003,P004,2,80.00,160.00,2024-01-17,North,Electronics
R014,C004,P005,3,60.00,180.00,2024-01-18,South,Clothing
R015,C005,P001,1,150.00,150.00,2024-01-19,East,Electronics
R016,,P002,2,250.00,500.00,2024-01-20,West,Clothing
R017,C007,,3,80.00,240.00,2024-01-21,North,Electronics
R018,C008,P003,-1,20.00,-20.00,2024-01-22,South,Grocery
R019,C009,P004,2,-80.00,-160.00,2024-01-23,East,Electronics
R020,C010,P005,abc,60.00,invalid,2024-01-24,West,Clothing
R021,C001,P001,50,150.00,7500.00,2024-01-25,North,Electronics
R022,C002,P002,1,250.00,250.00,2024-01-26,South,Clothing
R023,C003,P003,3,20.00,60.00,2024-01-27,East,Grocery
R024,C004,P004,2,80.00,160.00,2024-01-28,West,Electronics
R025,C005,P005,100,60.00,6000.00,2024-01-29,North,Clothing
